job_key,source,url,title,title_clean,company,seniority,location_primary,work_arrangement,salary_raw,salary_min_vnd,salary_max_vnd,salary_mid_vnd,salary_currency,salary_disclosed,n_skills,posted_raw,first_seen_at,last_seen_at,skills,locations
careerlink:3605504,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-hanh-chinh-vat-tu-lam-viec-tai-hoc-mon/3605504,Nhân viên hành chính vật tư (Làm việc tại Hóc Môn),Nhân viên hành chính vật tư,Công Ty TNHH MTV Chuyển Phát Nhanh Thuận Phong - CN TP.HCM,Nhân viên,Hồ Chí Minh,,9 triệu - 12 triệu,9000000.0,12000000.0,10500000.0,VND,True,0,2026-09-04T03:34:59+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hồ Chí Minh
careerlink:3604122,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-it-software-developer/3604122,Nhân viên IT (Software Developer),Nhân viên IT,"Nitto Denko Tape Materials (Vietnam) Co., Ltd.",Nhân viên,Bình Dương,,Thương lượng,,,,,False,0,2026-09-08T03:01:55+00:00,2026-09-08T06:38:14+00:00,2026-09-08T07:00:48+00:00,,"Bình Dương, Hà Nội"
careerlink:3361658,careerlink,https://www.careerlink.vn/tim-viec-lam/it-support-network-tieng-nhat-n3-%E2%80%93-quan-7/3361658,IT Support / Network (Tiếng Nhật N3) – Quận 7,IT Support / Network – Quận 7,CareerLink's Client,Nhân viên,Hồ Chí Minh,,17 triệu - 20 triệu,17000000.0,20000000.0,18500000.0,VND,True,0,2026-08-25T08:32:19+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hồ Chí Minh
careerlink:3604570,careerlink,https://www.careerlink.vn/tim-viec-lam/truong-nhom-nghiep-vu-ung-dung-erp-thu-nhap-40m/3604570,Trưởng Nhóm Nghiệp Vụ Ứng Dụng (ERP) - thu nhập 40M,Trưởng Nhóm Nghiệp Vụ Ứng Dụng - thu nhập 40M,Thời Trang Adidas - Công Ty Cổ Phần Đầu Tư Thương Mại Phượng Hoàng,Lead,Hà Nội,,30 triệu - 40 triệu,30000000.0,40000000.0,35000000.0,VND,True,0,2026-09-08T07:00:12+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3605739,careerlink,https://www.careerlink.vn/tim-viec-lam/bien-hung-dong-nai-chuyen-vien-it/3605739,[Biên Hùng Đồng Nai] Chuyên Viên IT,Chuyên Viên IT,CÔNG TY CỔ PHẦN VACXIN VIỆT NAM,Nhân viên,Đồng Nai,,Thương lượng,,,,,False,0,2026-09-07T05:10:46+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Đồng Nai
careerlink:3605644,careerlink,https://www.careerlink.vn/tim-viec-lam/cybersecurity-engineer/3605644,CyberSecurity Engineer,CyberSecurity Engineer,SGS Vietnam Ltd.,Nhân viên,Hà Nội,,Cạnh tranh,,,,,False,0,2026-09-01T15:07:04+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3598486,careerlink,https://www.careerlink.vn/tim-viec-lam/giang-vien-nganh-cong-nghe-thong-tin/3598486,Giảng Viên Ngành Công Nghệ Thông Tin,Giảng Viên Ngành Công Nghệ Thông Tin,Trường Đại Học Công Nghệ Đồng Nai,Nhân viên,Đồng Nai,,Cạnh tranh,,,,,False,0,2026-08-25T03:55:14+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Đồng Nai
careerlink:3608481,careerlink,https://www.careerlink.vn/tim-viec-lam/data-engineer/3608481,Data Engineer,Data Engineer,CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,Nhân viên,Hà Nội,,Thương lượng,,,,,False,0,2026-08-27T01:43:22+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3608581,careerlink,https://www.careerlink.vn/tim-viec-lam/senior-data-analyst/3608581,Senior Data Analyst,Senior Data Analyst,CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,Senior,Hà Nội,,Thương lượng,,,,,False,0,2026-08-27T01:43:22+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3608734,careerlink,https://www.careerlink.vn/tim-viec-lam/it-supporter/3608734,IT Supporter,IT Supporter,Anh Quân Bakery,Nhân viên,Đà Nẵng,,Thương lượng,,,,,False,0,2026-09-07T06:13:15+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Đà Nẵng
